index,src_out_result,src_ref_result,out_ref_result,HTER
114,[0.31458548],[0.31458548],[1.],0.0
115,[0.07902796],[0.11215649],[0.38180723],0.0
116,[0.16911726],[0.23193676],[0.27272727],0.0
117,[0.60629515],[0.66477468],[0.53835569],0.0
118,[0.28563625],[0.21876258],[0.41274222],0.0
119,[0.25003218],[0.19902361],[0.25924387],0.0
120,[0.44805642],[0.51719986],[0.45889233],0.0
121,[0.45699649],[0.32490474],[0.51047518],0.0
122,[0.68487395],[0.71652661],[0.76946779],0.0
123,[0.18422147],[0.15773425],[0.10412518],7.6923076923076925
124,[0.52894615],[0.20491769],[0.29866813],10.0
125,[0.21212121],[0.32841194],[0.25614035],0.0
126,[0.39004956],[0.31011983],[0.75381141],0.0
127,[0.15870916],[0.22519039],[0.26679059],0.0
128,[0.63442266],[0.47429194],[0.5540305],0.0
129,[0.26233946],[0.21799401],[0.38043628],7.4074074074074066
130,[0.14906929],[-0.0006995],[0.25740923],0.0
131,[0.31372877],[0.61303258],[0.40128098],0.0
132,[0.21171378],[0.26504258],[0.64421809],0.0
133,[0.49081795],[0.42346776],[0.73962178],0.0
134,[0.61571762],[0.51115551],[0.74225774],25.0
135,[0.46721706],[0.40171999],[0.42676299],0.0
136,[0.19306637],[0.21692621],[0.32330367],0.0
137,[0.12666432],[0.35900152],[0.10172034],6.153846153846154
138,[0.37516165],[0.2722408],[0.51179487],15.789473684210526
139,[0.40518996],[0.29075267],[0.37414565],0.0
140,[0.29310772],[0.20420476],[0.44168858],0.0
141,[0.48239316],[0.2386162],[0.28670737],11.11111111111111
142,[0.15605908],[0.34587196],[0.12900642],10.714285714285714
143,[0.17208301],[0.50119269],[0.1707189],16.0
144,[0.21454036],[0.45627706],[0.36681946],11.538461538461538
145,[0.51111111],[0.53333333],[0.92121212],0.0
146,[0.5859944],[0.5859944],[1.],20.0
147,[0.06212142],[0.13330407],[0.34406308],10.0
148,[0.24843215],[0.25907773],[0.89111989],0.0
149,[-0.08872101],[0.26132867],[0.1352006],6.25
150,[0.31757576],[0.33765481],[0.88337286],0.0
151,[0.27003784],[0.40915033],[0.55514276],0.0
152,[0.08107258],[0.27064258],[0.24049287],5.88235294117647
153,[0.17599],[0.02083475],[0.40131117],13.79310344827586
154,[0.19531915],[0.17373571],[0.17993342],26.666666666666668
155,[0.39418817],[0.21521823],[0.29380207],10.714285714285714
156,[0.7624699],[0.41021672],[0.46921225],0.0
