0,src_out,src_ref,out_ref
0,0.3822578600324903,0.4709219067609073,0.5576350319779255
1,0.8164005300411993,0.7760129449242459,0.9112675278641983
2,0.6638531450963506,0.8095697713543792,0.7602050296536088
3,0.7106414936325028,0.9399909049359264,0.7134106148482827
4,0.6545787453166572,0.6545787453166572,1.0
5,0.4524763745848662,0.432114924648847,0.6520538788225748
6,0.7012189577659221,0.8882234828730341,0.7099563113201932
7,0.8144368133377996,0.8282682812186212,0.7214116302317264
8,0.7160820674954547,0.56211950182992,0.5076115259482321
9,0.8074077182713179,0.6851564971475917,0.6352985650631137
10,0.436252295301473,0.5275202569445294,0.601966052344381
11,0.6746973342467281,0.6746973342467281,0.9999999999999999
12,0.7825945863018077,0.9004782402571119,0.7641649133539846
13,0.7118949272804707,0.633897943571852,0.6510772104531022
14,0.954420357242791,0.954420357242791,1.0
15,0.3515549758573988,0.69889339913492,0.3452379035157526
16,0.5400067390385042,0.619896233842642,0.5882307378421306
17,0.6882346845996367,0.7525889256240862,0.7834857020153679
18,0.5319260593597441,0.5534738263003248,0.758460034634179
19,0.9054045205747927,0.6665740569084828,0.7020855783937372
20,0.8303645981710562,0.7882506646412316,0.7010193725607219
21,0.8129893503514607,0.8347790125176511,0.9371059464388202
22,0.7728938082869912,0.7728938082869912,1.0
23,0.9371132908010109,0.9401830542308036,0.9968067355180577
24,0.7222386282486856,0.7222386282486856,1.0
25,0.5478136036886995,0.5289711252263911,0.7849462499763133
26,0.8344895448509853,0.7410723642850722,0.8347630908312746
27,0.621768213181782,0.6022023153286082,0.9111904928713375
28,0.827039478702191,0.874701075144232,0.814541501897999
29,0.9114987704088168,0.6877638802025088,0.7212227987096255
30,0.767456315216657,0.76556462673656,0.9536830267105301
31,0.5874833239509395,0.4075131882792641,0.4003422745893353
32,0.8330732391938228,0.6892350174335604,0.7350260183108214
33,0.46011296876513086,0.2967787267561473,0.4358638023472609
34,0.6851992161218626,0.5833905935781613,0.6511297749312076
35,0.5897371847941879,0.5896932511000079,0.9960392604880695
36,0.7451617772490403,0.9346337820731085,0.7601225820613794
37,0.5847984750819198,0.6484113441428683,0.7710283451178588
38,0.7807155806507895,0.9156891045855796,0.8614364871710156
39,0.7732278737113603,0.6949801075467094,0.6944712141877838
40,0.7144184369787446,0.7466258553426932,0.8495778558681454
41,0.5887552740713322,0.4404087962811074,0.426200115884222
42,0.5189489308096498,0.6924851425440655,0.5972091812596174
43,0.5133627914745058,0.5514698838663195,0.9166035728768468
44,0.610126081956847,0.5512003868811584,0.7625894278713643
45,0.7136307691454701,0.7136307691454701,1.0
46,0.7425564229938109,0.7425564229938109,1.0
47,0.5617080069606885,0.5769833951352401,0.5898092655560588
48,0.47423801402834453,0.6611093720445573,0.5679903826223669
49,0.7611227586509953,0.5456777256569062,0.6273155952721118
